course,opentext,link,notes,current-text,current-cost
CHEM 102: Essentials of Organic and Biochemistry,Cell and Molecular Biology 2e: What We Know & How We Found Out,https://www.saylor.org/site/wp-content/uploads/2016/06/CellAndMolecularBiology-Bergtrom.pdf,University of Wisconsin,CHEM/102 not listed on BSU bookstore list,"$80.75, $268.50, $36.25"
CHEM 111: General Chemistry I,Introductory Chemistry,http://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=22,Open Textbook Network,"BSU required ULTRASPEC 2001 OTG #19-034-241, CHEMISTRY SPIRAL BOUND STUDENT LAB NOTEBOOK-100 PAGE,CHEM 111 LABORATORY MANUAL 2017 (BSU CUSTOM)
","$6, $18.75, $31.50"
PHYS 111: General Physics I,College Physics,https://cnx.org/contents/031da8d3-b525-429c-80cf-6c8ed997733a,OpenStax,"BSU COLLEGE PHYSICS 3/E (UPDATED) LL W/AC & SWB1&2 (alt required, Pearson), COLLEGE PHYSICS 3/E SOLUTIONS MANUAL VOL. 1 (CH.1-16) (optional, Pearson), COLLEGE PHYSICS 3/E STANDALONE AC (alt required, Pearson)
","$220.50, $55, $141"
PHYS 112: General Physics II,University Physics Volume 1,https://cnx.org/contents/d50f6e32-0fda-46ef-a362-9bd36ca7c97d,OpenStax,"BSU COLLEGE PHYSICS 3/E (UPDATED) LL W/AC & SWB1&2 (alt required, Pearson), COLLEGE PHYSICS 3/E STANDALONE AC (alt required, Pearson), EXERCISES IN PHYSICS (AUG 2014) (requried, BSU)
","$220.50, $141, $12.25"
PHYS 112: General Physics II,University Physics Volume 2,https://cnx.org/contents/7a0f9770-1c44-4acd-9920-1cd9a99f2a1e,OpenStax,"BSU COLLEGE PHYSICS 3/E (UPDATED) LL W/AC & SWB1&2 (alt required, Pearson), COLLEGE PHYSICS 3/E STANDALONE AC (alt required, Pearson), EXERCISES IN PHYSICS (AUG 2014) (requried, BSU)
","$220.50, $141, $12.25"
PHYS 112: General Physics II,University Physics Volume 3,https://cnx.org/contents/af275420-6050-4707-995c-57b9cc13c358,OpenStax,"BSU COLLEGE PHYSICS 3/E (UPDATED) LL W/AC & SWB1&2 (alt required, Pearson), COLLEGE PHYSICS 3/E STANDALONE AC (alt required, Pearson), EXERCISES IN PHYSICS (AUG 2014) (requried, BSU)
","$220.50, $141, $12.25"
GEOL 101: Physical Geology,Physical Geology,http://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=269,Open Textbook Network,GEOL/101 not listed on BSU bookstore list,"$220.50, $141, $12.25"
GEOL 102: Historical Geology,Laboratory Manual for Introductory Geology,https://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=506,Open Textbook Network,GEOL/102 not listed on BSU bookstore list,"$220.50, $141, $12.25"
GEOL 102: Historical Geology,Historical Geology,https://www.oercommons.org/courses/historical-geology/view,Wikibook,GEOL/102 not listed on BSU bookstore list,"$220.50, $141, $12.25"
ANTH 101: Physical Anthropology,Introduction to Physical Anthropology,http://www.oercommons.org/courses/introduction-to-physical-anthropology/view,Open Textbook Network,"BSU EXPLORING BIOLOGICAL ANTHROPOLOGY 4/E PA (Optional, Pearson), EXPLORING BIOLOGICAL ANTHROPOLOGY 4/E REVEL STANDALONE AC (W/eTEXT) (required, Pearson)
","$187.25, $79.50"
ANTH102: Cultural Anthropology,Perspectives: An Open Invitation to Cultural Anthropology,https://open.umn.edu/opentextbooks/BookDetail.aspx?bookId=464,Open Textbook Network,"BSU HUMAN CULTURE 3/E PA - Pearson, DOBE JU/'HOANSI 4/E PA - Cengage
","123.25, $61.50"
